team_key,espn_teams,odds_teams
Minnesota United FC,Minnesota United FC,Minnesota United FC
Miramar,Miramar,
Miramar Misiones,Miramar Misiones,
Mirandés,Mirandés,CD Mirandés
Mirassol,Mirassol,Mirassol
Mitre (Santiago del Estero),Mitre (Santiago del Estero),
MLS All-Stars,MLS All-Stars,
Modena,Modena,Modena
Moldova,Moldova,
Monagas SC,Monagas SC,
Mongolia,Mongolia,
Montenegro,Montenegro,
Monterrey,Monterrey,Monterrey
Montpellier,Montpellier,Montpellier
Montserrat,Montserrat,
Monza,Monza,Monza
Morecambe,Morecambe,Morecambe
Moreirense,Moreirense,Moreirense FC
Motherwell,Motherwell,Motherwell
Municipal,Municipal,
Municipal Liberia,Municipal Liberia,
Municipal Limeño,Municipal Limeño,
Muñiz,Muñiz,
Mushuc Runa,Mushuc Runa,
MVV Maastricht,MVV Maastricht,
NAC Breda,NAC Breda,NAC Breda
Nacional,Nacional,Nacional
Nacional de Madeira,Nacional de Madeira,
Nacional Potosí,Nacional Potosí,
Nagoya Grampus,Nagoya Grampus,Nagoya Grampus
Nantes,Nantes,Nantes
Nantong Zhiyun,Nantong Zhiyun,
Napoli,Napoli,Napoli
Nashville SC,Nashville SC,Nashville SC
NEC Nijmegen,NEC Nijmegen,NEC Nijmegen
Necaxa,Necaxa,Necaxa
Netherlands,Netherlands,
New Caledonia,New Caledonia,
New England Revolution,New England Revolution,New England Revolution
New York City FC,New York City FC,New York City FC
New York Red Bulls,New York Red Bulls,New York Red Bulls
New Zealand,New Zealand,
Newcastle United,Newcastle United,Newcastle United
Newell's Old Boys,Newell's Old Boys,Newells Old Boys
Newport County,Newport County,Newport County
Nicaragua,Nicaragua,
Nice,Nice,Nice
Nice II,Nice II,
Nigeria,Nigeria,
Nizhny Novgorod,Nizhny Novgorod,
NJ/NY Gotham FC,NJ/NY Gotham FC,
North Carolina Courage,North Carolina Courage,
North Korea,North Korea,
North Macedonia,North Macedonia,
Northampton Town,Northampton Town,Northampton Town
Northern Ireland,Northern Ireland,
Northern Ireland U19,Northern Ireland U19,
Norway,Norway,
Norway U19,Norway U19,
Norwich City,Norwich City,Norwich City
Nottingham Forest,Nottingham Forest,Nottingham Forest
Notts County,Notts County,Notts County
Novorizontino,Novorizontino,
Nueva Chicago,Nueva Chicago,
Nueva Zelanda,Nueva Zelanda,
Nueva Zelanda S23,Nueva Zelanda S23,
Numancia,Numancia,
Ñublense,Ñublense,Ñublense
OFI Crete,OFI Crete,OFI Crete
O'Higgins,O'Higgins,O'Higgins
Olancho,Olancho,
Olimpia,Olimpia,
Olympiacos,Olympiacos,Olympiakos Piraeus
Once Caldas,Once Caldas,
Once Deportivo,Once Deportivo,
Ontiñena CF,Ontiñena CF,
Operario PR,Operario PR,Operario PR
Orbit College,Orbit College,
Orense,Orense,
Oriente Petrolero,Oriente Petrolero,
Orlando City SC,Orlando City SC,Orlando City SC
Orlando Pirates,Orlando Pirates,
Orlando Pride,Orlando Pride,
Orsomarso SC,Orsomarso SC,
Osasuna,Osasuna,CA Osasuna
Oud-Heverlee Leuven,Oud-Heverlee Leuven,Leuven
Oxford United,Oxford United,Oxford United
Pachuca,Pachuca,Pachuca
Padova,Padova,
Pakhtakor Tashkent,Pakhtakor Tashkent,
Palermo,Palermo,Palermo
Palestine,Palestine,
Palestino,Palestino,Palestino
Palmeiras,Palmeiras,Palmeiras
Palmeiras S20,Palmeiras S20,
Panathinaikos,Panathinaikos,Panathinaikos
Panetolikos,Panetolikos,Panetolikos Agrinio
Panserraikos FC,Panserraikos FC,Panserraikos FC
PAOK Salonika,PAOK Salonika,PAOK
Papua New Guinea,Papua New Guinea,
Paraguay,Paraguay,
Paraguay S23,Paraguay S23,
Paris FC,Paris FC,Paris FC
Paris Saint-Germain,Paris Saint-Germain,Paris Saint Germain
Parma,Parma,Parma
Partick Thistle,Partick Thistle,
Patriotas,Patriotas,
Patronato,Patronato,
Pau,Pau,Pau FC
Paysandu,Paysandu,Paysandu
PEC Zwolle,PEC Zwolle,FC Zwolle
Peñarol,Peñarol,Peñarol Montevideo
Perez Zeledon,Perez Zeledon,
Persepolis,Persepolis,
Peterborough United,Peterborough United,Peterborough United
Philadelphia Union,Philadelphia Union,Philadelphia Union
Philippines,Philippines,
Pisa,Pisa,Pisa
Platense,Platense,Platense
Platense Zacatecoluca,Platense Zacatecoluca,
Plymouth Argyle,Plymouth Argyle,Plymouth Argyle
Pohang Steelers,Pohang Steelers,Pohang Steelers
Poland,Poland,
Polokwane City,Polokwane City,
Ponte Preta,Ponte Preta,Ponte Preta
Port Vale,Port Vale,Port Vale
Portimonense,Portimonense,
Portland Thorns FC,Portland Thorns FC,
Portland Timbers,Portland Timbers,Portland Timbers
Portsmouth,Portsmouth,Portsmouth
Portugal,Portugal,
Portuguesa,Portuguesa,
Preston North End,Preston North End,Preston North End
Pretoria Callies,Pretoria Callies,
Pretoria University,Pretoria University,
Progreso,Progreso,
Promesas EDF,Promesas EDF,
PSV Eindhoven,PSV Eindhoven,PSV Eindhoven
Puebla,Puebla,Puebla
Puerto Nuevo,Puerto Nuevo,
Puerto Rico,Puerto Rico,
Pumas UNAM,Pumas UNAM,Pumas
Puntarenas,Puntarenas,
Qatar,Qatar,
Qingdao Hainiu,Qingdao Hainiu,Qingdao Hainiu FC
Qingdao West Coast,Qingdao West Coast,
Queen's Park,Queen's Park,
Queens Park Rangers,Queens Park Rangers,Queens Park Rangers
Querétaro,Querétaro,Querétaro
Quilmes,Quilmes,
Racing,Racing,
Racing (Córdoba),Racing (Córdoba),
Racing (Montevideo),Racing (Montevideo),
Racing Club,Racing Club,Racing Club
Racing Ferrol,Racing Ferrol,Racing de Ferrol
Racing Genk,Racing Genk,Genk
Racing Louisville FC,Racing Louisville FC,
Racing Santander,Racing Santander,Real Racing Club de Santander
Raith Rovers,Raith Rovers,
Rampla Juniors,Rampla Juniors,
Rangers,Rangers,Rangers
Rapid Vienna,Rapid Vienna,Rapid Wien
Rayo Vallecano,Rayo Vallecano,Rayo Vallecano
RB Leipzig,RB Leipzig,RB Leipzig
RB Salzburg,RB Salzburg,RB Salzburg
Reading,Reading,Reading
Real Betis,Real Betis,Real Betis
Real Cartagena,Real Cartagena,
Real Cundinamarca,Real Cundinamarca,
Real Espana,Real Espana,
Real Madrid,Real Madrid,Real Madrid
Real Oviedo,Real Oviedo,Oviedo
Real Pilar,Real Pilar,
Real Salt Lake,Real Salt Lake,Real Salt Lake
Real Santa Cruz,Real Santa Cruz,
Real Santander,Real Santander,
Real Soacha Cundinamarca,Real Soacha Cundinamarca,
Real Sociedad,Real Sociedad,Real Sociedad
Real Tomayapo,Real Tomayapo,
Real Valladolid,Real Valladolid,Valladolid
Real Zaragoza,Real Zaragoza,Zaragoza
Red Bull Bragantino,Red Bull Bragantino,Bragantino-SP
Red Star Belgrade,Red Star Belgrade,Red Star Belgrade
Red Star FC 93,Red Star FC 93,Red Star
Reggiana,Reggiana,Reggiana
Republic of Ireland,Republic of Ireland,
República Dominicana S23,República Dominicana S23,
Richards Bay,Richards Bay,
Rigas Futbola Skola,Rigas Futbola Skola,
Rio Ave,Rio Ave,Rio Ave FC
River Plate,River Plate,River Plate
RKC Waalwijk,RKC Waalwijk,RKC Waalwijk
Roda JC Kerkrade,Roda JC Kerkrade,
Rodez Aveyron,Rodez Aveyron,Rodez AF
Romania,Romania,
Rosario Central,Rosario Central,Rosario Central
Ross County,Ross County,Ross County
Rostov,Rostov,
Rotherham United,Rotherham United,Rotherham United
Rot-Weiss Essen,Rot-Weiss Essen,Rot-Weiss Essen
Royal AM,Royal AM,
Royal Charleroi SC,Royal Charleroi SC,Charleroi
Royal Pari,Royal Pari,
Rubin Kazan,Rubin Kazan,
Russia,Russia,
Saarbrücken,Saarbrücken,
Sacachispas,Sacachispas,
Sagan Tosu,Sagan Tosu,Sagan Tosu
Saint-Etienne,Saint-Etienne,Saint Etienne
Sakaryaspor,Sakaryaspor,
Salernitana,Salernitana,Salernitana
Salford City,Salford City,Salford City
Samoa,Samoa,
Sampdoria,Sampdoria,Sampdoria
Samsunspor,Samsunspor,Samsunspor
San Antonio Bulo Bulo,San Antonio Bulo Bulo,
San Carlos,San Carlos,
San Diego Wave FC,San Diego Wave FC,
San Jose Earthquakes,San Jose Earthquakes,San Jose Earthquakes
San Lorenzo,San Lorenzo,San Lorenzo
San Marino,San Marino,
San Martín (Burzaco),San Martín (Burzaco),
San Martín (San Juan),San Martín (San Juan),
San Martín (Tucumán),San Martín (Tucumán),
San Miguel,San Miguel,
San Telmo,San Telmo,
San Tirso SD,San Tirso SD,
Sanfrecce Hiroshima,Sanfrecce Hiroshima,Hiroshima Sanfrecce FC
Santa Ana F.C.,Santa Ana F.C.,
Santa Clara,Santa Clara,Santa Clara
Santos,Santos,Santos
Santos S20,Santos S20,
São Paulo,São Paulo,Sao Paulo
São Paulo S20,São Paulo S20,
Saprissa,Saprissa,
Sarmiento (Junín),Sarmiento (Junín),Sarmiento de Junin
Sassuolo,Sassuolo,Sassuolo
Saudi Arabia,Saudi Arabia,
SC Amiens,SC Amiens,Amiens
SC Cambuur,SC Cambuur,
SC Farense,SC Farense,SC Farense
SC Freiburg,SC Freiburg,SC Freiburg
SC Paderborn 07,SC Paderborn 07,SC Paderborn
Schalke 04,Schalke 04,FC Schalke 04
Schott,Schott,
Scotland,Scotland,
Seattle Reign FC,Seattle Reign FC,
Seattle Sounders FC,Seattle Sounders FC,Seattle Sounders FC
Sekhukhune United,Sekhukhune United,
Selaya FC,Selaya FC,
Serbia,Serbia,
Sevilla,Sevilla,Sevilla
Shakhtar Donetsk,Shakhtar Donetsk,Shakhtar Donetsk
Shandong Taishan,Shandong Taishan,Shandong Luneng Taishan FC
Shanghai Port,Shanghai Port,Shanghai SIPG FC
Shanghai Shenhua,Shanghai Shenhua,Shanghai Shenhua FC
Sheffield United,Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Wednesday,Sheffield Wednesday
Shenzhen Xinpengcheng,Shenzhen Xinpengcheng,Shenzhen Peng City FC
Shonan Bellmare,Shonan Bellmare,Shonan Bellmare
Shrewsbury Town,Shrewsbury Town,Shrewsbury Town
Sint Maarten,Sint Maarten,
Sint-Truidense,Sint-Truidense,Sint Truiden
Sivasspor,Sivasspor,Sivasspor
SK Sturm Graz,SK Sturm Graz,Sturm Graz
Slavia Prague,Slavia Prague,
Slovakia,Slovakia,
Slovan Bratislava,Slovan Bratislava,ŠK Slovan Bratislava
Slovenia,Slovenia,
Sol de América,Sol de América,
Solomon Islands,Solomon Islands,
South Korea,South Korea,
Southampton,Southampton,Southampton
Spain,Spain,
Spain U19,Spain U19,
Sparta Prague,Sparta Prague,Sparta Prague
Sparta Rotterdam,Sparta Rotterdam,Sparta Rotterdam
Spartak Moscow,Spartak Moscow,
Spezia,Spezia,Spezia
Sport,Sport,Sport Recife
Sport Boys,Sport Boys,
Sport Huancayo,Sport Huancayo,
Sportfreunde Lotte,Sportfreunde Lotte,
Sporting CP,Sporting CP,Sporting Lisbon
Sporting Cristal,Sporting Cristal,
Sporting Gijón,Sporting Gijón,Sporting Gijón
Sporting Kansas City,Sporting Kansas City,Sporting Kansas City
Sporting San José,Sporting San José,
Sportivo Ameliano,Sportivo Ameliano,
Sportivo Barracas,Sportivo Barracas,
Sportivo Italiano,Sportivo Italiano,
Sportivo Luqueño,Sportivo Luqueño,
SpVgg Greuther Furth,SpVgg Greuther Furth,Greuther Fürth
Sri Lanka,Sri Lanka,
SSV Jahn Regensburg,SSV Jahn Regensburg,Jahn Regensburg
SSV Ulm 1846,SSV Ulm 1846,SSV Ulm 1846
St Johnstone,St Johnstone,St Johnstone
St Mirren,St Mirren,St Mirren
St. Kitts and Nevis,St. Kitts and Nevis,
St. Louis CITY SC,St. Louis CITY SC,St. Louis City SC
St. Lucia,St. Lucia,
St. Martin,St. Martin,
St. Pauli,St. Pauli,FC St. Pauli
St. Vincent and the Grenadines,St. Vincent and the Grenadines,
Stade de Reims,Stade de Reims,Stade de Reims
Stade Laval,Stade Laval,Stade Lavallois
Stade Rennais,Stade Rennais,Rennes
Standard Liege,Standard Liege,Standard Liege
Stellenbosch,Stellenbosch,
Stevenage,Stevenage,Stevenage
Stockport County,Stockport County,Stockport County FC
Stoke City,Stoke City,Stoke City
Strasbourg,Strasbourg,Strasbourg
Suditrol,Suditrol,Südtirol
Sunderland,Sunderland,Sunderland
SuperSport United,SuperSport United,
Suriname,Suriname,
SV 07 Elversberg,SV 07 Elversberg,Elversberg
SV Austria Salzburg,SV Austria Salzburg,Salzburg
SV Darmstadt 98,SV Darmstadt 98,SV Darmstadt 98
SV Meppen,SV Meppen,
SV Sandhausen,SV Sandhausen,SV Sandhausen
SV Wehen Wiesbaden,SV Wehen Wiesbaden,
Swansea City,Swansea City,Swansea City
Sweden,Sweden,
Swindon Town,Swindon Town,Swindon Town
Switzerland,Switzerland,
Tacuary,Tacuary,
Tahiti,Tahiti,
Tajikistan,Tajikistan,
Talleres,Talleres,Talleres
Talleres (Córdoba),Talleres (Córdoba),
Tampico Madero,Tampico Madero,
Tapatío,Tapatío,
Técnico Universitario,Técnico Universitario,
Telstar,Telstar,
Temperley,Temperley,
Tenerife,Tenerife,Tenerife
Tepatitlán FC,Tepatitlán FC,
Teutonia Ottensen,Teutonia Ottensen,
Thailand,Thailand,
The Strongest,The Strongest,
Tianjin Jinmen Tiger,Tianjin Jinmen Tiger,Tianjin Jinmen Tiger FC
Tigre,Tigre,CA Tigre BA
Tigres,Tigres,Tigres
Tigres UANL,Tigres UANL,Tigres
Tijuana,Tijuana,Tijuana
Timor-Leste,Timor-Leste,
Tlaxcala FC,Tlaxcala FC,
Tokyo Verdy 1969,Tokyo Verdy 1969,Tokyo Verdy
Toluca,Toluca,Toluca
Tonga,Tonga,
TOP Oss,TOP Oss,
Torino,Torino,Torino
Toronto FC,Toronto FC,Toronto FC
Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur
Toulouse,Toulouse,Toulouse
Trabzonspor,Trabzonspor,Trabzonspor
Tranmere Rovers,Tranmere Rovers,Tranmere Rovers
Trinidad and Tobago,Trinidad and Tobago,
Trinidense,Trinidense,
Tristán Suárez,Tristán Suárez,
Troyes,Troyes,Troyes
TS Galaxy,TS Galaxy,
TSG Hoffenheim,TSG Hoffenheim,TSG Hoffenheim
TSV Eintracht Braunschweig,TSV Eintracht Braunschweig,
Turkey,Turkey,
Turkey U19,Turkey U19,
Turks and Caicos Islands,Turks and Caicos Islands,
TUS Koblenz,TUS Koblenz,
U. de G.,U. de G.,
U.S. Pergolettese,U.S. Pergolettese,
UAI Urquiza,UAI Urquiza,
Ucrania S23,Ucrania S23,
UD Playas de Sotavento,UD Playas de Sotavento,
UD San Pedro,UD San Pedro,
Udinese,Udinese,Udinese
UE Vic,UE Vic,
Ukraine,Ukraine,
Ukraine U19,Ukraine U19,
Ulsan Hyundai,Ulsan Hyundai,
UNFP,UNFP,
Unión (Santa Fe),Unión (Santa Fe),Union Santa Fe
Unión Comercio,Unión Comercio,
Unión Española,Unión Española,Unión Española
Unión La Calera,Unión La Calera,Union La Calera
Unión Magdalena,Unión Magdalena,
Union St.-Gilloise,Union St.-Gilloise,Union Saint-Gilloise
United Arab Emirates,United Arab Emirates,
United States,United States,
Universidad Católica,Universidad Católica,Universidad Católica (CHI)
Universidad Católica (Quito),Universidad Católica (Quito),
Universidad Central,Universidad Central,
Universidad de Chile,Universidad de Chile,Universidad de Chile
Universitario,Universitario,
Universitario de Vinto,Universitario de Vinto,
Upington City,Upington City,
UPNFM,UPNFM,
Urawa Red Diamonds,Urawa Red Diamonds,Urawa Red Diamonds
Uruguay,Uruguay,
US Avellino,US Avellino,
US Virgin Islands,US Virgin Islands,
Utah Royals,Utah Royals,
UTC,UTC,
Uzbekistán S23,Uzbekistán S23,
Valencia,Valencia,Valencia
Vancouver Whitecaps,Vancouver Whitecaps,Vancouver Whitecaps FC
Vanuatu,Vanuatu,
Vasco da Gama,Vasco da Gama,Vasco da Gama
Vélez Sarsfield,Vélez Sarsfield,Velez Sarsfield BA
Venados FC,Venados FC,
Venda Football Acadamy,Venda Football Acadamy,
Venezia,Venezia,Venezia
Venezuela,Venezuela,
Versailles 78,Versailles 78,
VfB Stuttgart,VfB Stuttgart,VfB Stuttgart
VfL Bochum,VfL Bochum,VfL Bochum
VfL Osnabruck,VfL Osnabruck,
VfL Wolfsburg,VfL Wolfsburg,VfL Wolfsburg
VfR Aalen,VfR Aalen,
VfV Hildesheim,VfV Hildesheim,
Victoria,Victoria,
Victoriano Arenas,Victoriano Arenas,
Vietnam,Vietnam,
Viktoria Plzen,Viktoria Plzen,
Vila Nova-GO,Vila Nova-GO,Vila Nova
Villa Dálmine,Villa Dálmine,
Villa San Carlos,Villa San Carlos,
Villarreal,Villarreal,Villarreal
Vissel Kobe,Vissel Kobe,Vissel Kobe
Vitesse,Vitesse,
Vitória,Vitória,Vitoria
Volos NFC,Volos NFC,Volos FC
VVV-Venlo,VVV-Venlo,
Wales,Wales,
Walsall,Walsall,Walsall
Wanderers,Wanderers,
Washington Spirit,Washington Spirit,
Watford,Watford,Watford
Werder Bremen,Werder Bremen,Werder Bremen
West Bromwich Albion,West Bromwich Albion,West Bromwich Albion
West Ham United,West Ham United,West Ham United
Wigan Athletic,Wigan Athletic,Wigan Athletic
Willem II,Willem II,Willem II
Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers
Wrexham,Wrexham,Wrexham AFC
WSG Swarovski Tirol,WSG Swarovski Tirol,WSG Tirol
Wuhan Three Towns,Wuhan Three Towns,Wuhan Three Towns
Würzburger Kickers,Würzburger Kickers,
Wycombe Wanderers,Wycombe Wanderers,Wycombe Wanderers
Xelaju,Xelaju,
Xinabajul,Xinabajul,
Yokohama F. Marinos,Yokohama F. Marinos,Yokohama F Marinos
Young Boys,Young Boys,Young Boys
Yupanqui,Yupanqui,
Zacapa,Zacapa,
Zambia,Zambia,
Zamora,Zamora,
Zenit St Petersburg,Zenit St Petersburg,Zenit St Petersburg
Zhejiang Professional FC,Zhejiang Professional FC,
SantosMX,Santos,Santos Laguna
Atalanta,Atalanta,Atalanta
Internazionale,Internazionale,Inter Milan
Bayern Munich,Bayern Munich,Bayern München
Lille,Lille,LOSC Lille
Young Boys,Young Boys,BSC Young Boys
SK Sturm Graz,SK Sturm Graz,SK Sturm Graz
Grêmio,Grêmio,Grêmio Novorizontino
PAOK Salonika,PAOK Salonika,PAOK Thessaloniki
FC Luzern,FC Luzern,FC Luzern
FC Zurich,FC Zurich,FC Zurich
Servette,Servette,Servette
FC Sion,FC Sion,FC Sion
FC Basel,FC Basel,FC Basel
St. Gallen,St. Gallen,FC St Gallen
Lausanne Sports,Lausanne Sports,FC Lausanne-Sport
Winterthur,Winterthur,FC Winterthur
Yverdon,Yverdon,Yverdon Sport FC
FC Lugano,FC Lugano,FC Lugano
AS Monaco,AS Monaco,Monaco
Puerto Montt,Puerto Montt,
Western Sydney Wanderers,Western Sydney Wanderers,Western Sydney Wanderers
Wellington Phoenix FC,Wellington Phoenix FC,Wellington Phoenix FC
Auckland FC,Auckland FC,Auckland FC
Newcastle Jets,Newcastle Jets,Newcastle Jets FC
FC Blau-Weiß Linz,FC Blau-Weiß Linz,FC Blau-Weiß Linz
Macarthur FC,Macarthur FC,Macarthur FC
SK Austria Klagenfurt,SK Austria Klagenfurt,Austria Klagenfurt
Adelaide United,Adelaide United,Adelaide United
Melbourne City FC,Melbourne City FC,Melbourne City
Perth Glory,Perth Glory,Perth Glory
Austria Vienna,Austria Vienna,Austria Wien
SC Rheindorf Altach,SC Rheindorf Altach,Rheindorf Altach
TSV Hartberg,TSV Hartberg,Hartberg
Western United,Western United,Western United FC
Wolfsberger,Wolfsberger,Wolfsberger AC
LASK Linz,LASK Linz,FC Blau-Weiß Linz
Melbourne Victory,Melbourne Victory,Melbourne Victory
Sydney FC,Sydney FC,Sydney FC
Brisbane Roar,Brisbane Roar,Brisbane Roar
Magallanes,Magallanes,
Atlético-MG,Atlético-MG,Clube Atlético Mineiro
Preußen Münster,Preußen Münster,SC Preußen Münster
